source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,2.0,5.0,0,11,False,True,403,11,2,8,8,10,0.01,L2,0.01,0.43,,0.68,,1.11022302463e-16,8.0,0.68
GQ,True,2.0,100.0,1000,27,False,True,2519,27,2,19,19,10,0.0001,L2,0.01,2.7,,0.69,,0.0,9.0,0.69
GQ,True,1.0,100.0,0,21,False,True,2649,21,2,13,13,10,1.0,L2,0.01,2.75,,0.69,,1.11022302463e-16,8.0,0.69
GQ,True,0.0,10.0,1000,8,False,True,1218,8,2,3,3,10,0.0001,L1,0.0001,1.25,,1.03,,2.22044604925e-16,8.0,1.03
GQ,True,0.0,20.0,1000,43,False,True,1688,43,2,10,10,10,0.1,L1,0.0001,1.73,,0.71,,0.0,9.0,0.71
GQ,True,2.0,10.0,0,34,False,True,986,34,2,9,9,10,0.001,L1,0.01,1.08,,0.7,,0.0,9.0,0.7
GQ,True,2.0,5.0,100,34,False,True,403,34,2,15,15,10,1.0,L2,0.01,0.45,,0.74,,0.0,9.0,0.74
GQ,True,0.0,5.0,100,72,False,True,636,72,2,38,38,10,0.01,L1,0.0001,0.71,,0.74,,-1.11022302463e-16,9.0,0.74
GQ,True,2.0,50.0,1000,22,False,True,2204,22,2,20,20,10,1.0,L2,0.001,2.39,,0.73,,0.0,9.0,0.73
GQ,True,2.0,10.0,100,40,False,True,986,40,2,33,33,10,0.001,L1,0.1,2.02,0.68,0.73,-0.0113220857295,0.0129499736704,5.0,0.69
GQ,True,2.0,10.0,1000,51,False,True,986,51,2,15,15,10,0.01,L2,0.01,1.81,0.56,0.76,-0.0188935252649,0.0216018957346,-inf,inf
GQ,True,2.0,50.0,1000,20,False,True,2204,20,2,10,10,10,0.01,L1,0.0001,3.72,0.69,0.68,-0.00227655846598,-0.00109675141243,9.0,0.68
GQ,True,2.0,5.0,1000,18,False,True,403,18,2,3,3,10,0.1,L2,0.001,0.74,0.78,0.76,-0.00587676770856,-0.00549680715198,9.0,0.76
GQ,True,2.0,50.0,100,23,False,True,2204,23,2,16,16,10,0.01,L1,0.0001,3.89,0.72,0.73,-0.0018156601806400001,-0.00239218455744,9.0,0.73
GQ,True,0.0,100.0,1000,57,False,True,2751,57,2,56,56,10,0.001,L1,0.1,5.35,0.72,0.67,-1.38829753302e-05,-0.0010693032015099998,3.0,0.66
GQ,True,2.0,20.0,1000,78,False,True,1456,78,2,44,44,10,0.1,L1,0.0001,3.14,0.71,0.69,-0.00281543358856,-0.000322293447293,9.0,0.69
GQ,True,0.0,100.0,1000,86,False,True,2751,86,2,8,8,10,0.0001,L1,0.1,4.72,0.66,0.65,-0.00817181340321,0.00205310734463,7.0,0.64
GQ,True,2.0,20.0,100,47,False,True,1456,47,2,6,6,10,1.0,L2,0.01,2.6,0.7,0.69,-8.98522797068e-05,-0.000141025641026,9.0,0.69
GQ,True,0.0,5.0,1000,48,False,True,636,48,2,7,7,10,0.1,L1,0.001,1.17,0.68,0.7,-0.00106438063947,-0.000411764705882,9.0,0.7
GQ,True,0.0,20.0,0,47,False,True,1688,47,2,4,4,10,0.01,L1,0.1,1.91,0.72,0.69,-1.35938343973e-05,-0.000606200122775,7.0,0.68
GQ,True,2.0,5.0,1000,33,False,True,403,33,2,19,19,10,1.0,L2,0.001,0.51,0.7,0.69,-7.36653382754e-05,0.000286079182631,1.0,0.69
GQ,True,1.0,20.0,1000,16,False,True,1586,16,2,9,9,10,1.0,L2,0.001,1.79,0.69,0.69,0.000129330320845,-2.28758169929e-06,9.0,0.69
