source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,1.0,5.0,100,68,True,True,78,68,2,67,67,100,0.0001,L1,4.8981405002599875e-130,0.81,0.53,1.07,-0.000218238832499,0.000434997029115,-inf,inf
GQ,True,2.0,100.0,100,41,True,True,257,41,2,39,39,100,0.01,L1,4.8981405002599875e-130,3.43,0.29,0.75,-0.0011648671775999998,0.000104756657484,3.0,0.69
GQ,True,1.0,5.0,1000,38,True,True,78,38,2,29,29,100,0.001,L2,4.898140500259974e-131,0.78,0.74,0.92,0.0,-9.68508615573e-06,99.0,0.92
GQ,True,0.0,5.0,1000,78,False,True,636,78,2,54,54,100,0.01,L1,4.898140500259974e-131,3.77,0.76,0.73,0.0,-8.667557932380001e-06,3.0,0.72
GQ,True,2.0,10.0,0,52,False,True,986,52,2,12,12,100,0.001,L2,4.89814050025994e-129,9.28,0.03,0.67,-0.000402621085302,0.000262391689406,10.0,0.53
GQ,True,0.0,5.0,1000,23,True,True,96,23,2,19,19,100,0.1,L2,4.898140500259988e-128,1.21,0.7,0.69,-1.04968291886e-05,-2.59740259734e-06,99.0,0.69
GQ,True,0.0,20.0,100,59,False,True,1688,59,2,18,18,100,0.1,L1,4.898140500259974e-131,10.32,0.64,0.73,0.000600588084273,-3.11875662704e-05,99.0,0.73
GQ,True,2.0,10.0,1000,13,False,True,986,13,2,7,7,100,0.01,L2,4.898140500259974e-131,7.38,1.04,0.81,0.00036343489990699993,-8.37426396669e-05,99.0,0.81
GQ,True,0.0,50.0,1000,16,True,True,289,16,2,13,13,100,0.0001,L2,4.898140500259945e-129,4.77,0.1,1.44,-0.0008223039386469999,0.0011661779081099998,1.0,0.71
GQ,True,1.0,50.0,100,55,False,True,2334,55,2,46,46,100,1.0,L1,4.8981405002599875e-130,14.99,0.69,0.69,-1.85004063125e-06,0.0,99.0,0.69
GQ,True,0.0,100.0,1000,14,True,True,294,14,2,11,11,100,0.01,L2,4.898140500259947e-129,3.29,0.62,0.63,-6.44108780634e-06,-1.3163379829999995e-05,6.0,0.62
GQ,True,1.0,100.0,0,71,False,True,2649,71,2,55,55,100,0.0001,L2,4.8981405002599875e-130,21.64,0.44,0.58,-0.00019307300738099999,-0.00016741001565,99.0,0.58
GQ,True,0.0,50.0,100,44,True,True,289,44,2,41,41,100,0.01,L1,4.898140500259974e-131,4.86,0.69,0.78,-0.00026673077258,7.97491039427e-05,4.0,0.71
GQ,True,1.0,10.0,0,78,True,True,175,78,2,20,20,100,0.01,L1,4.898140500259988e-128,1.77,0.71,0.69,3.4556871608699996e-07,-1.3377013377e-05,99.0,0.69
GQ,True,2.0,100.0,1000,32,True,True,257,32,2,1,1,100,0.01,L2,4.8981405002599875e-130,2.12,0.68,0.81,0.000107432873351,7.10927456384e-05,18.0,0.78
GQ,True,2.0,100.0,100,6,True,True,257,6,2,2,2,100,1.0,L2,4.8981405002599875e-130,3.55,0.69,0.69,9.635451096e-06,1.09274563821e-05,-inf,inf
GQ,True,0.0,10.0,0,40,False,True,1218,40,2,4,4,100,0.01,L2,4.8981405002599875e-130,8.63,0.5,0.63,-0.00011908174560299998,-2.92813189365e-05,99.0,0.63
GQ,True,2.0,100.0,1000,87,False,True,2519,87,2,37,37,100,0.1,L1,4.898140500259956e-129,16.16,0.7,0.69,-1.01889263326e-05,-1.11022302463e-16,99.0,0.69
GQ,True,1.0,10.0,0,93,False,True,1116,93,2,22,22,100,0.001,L2,4.8981405002599875e-130,8.14,0.17,0.52,-0.0007100983844930001,-0.000253784709015,99.0,0.52
GQ,True,1.0,50.0,1000,81,True,True,271,81,2,22,22,100,0.001,L2,4.898140500259988e-128,2.34,0.44,1.0,9.1543382655e-05,0.00032783002438200004,8.0,0.86
GQ,True,2.0,50.0,100,20,True,True,253,20,2,10,10,100,0.01,L2,4.8981405002599596e-129,2.97,0.09,1.07,-1.04079709364e-05,0.00027633744856,-inf,inf
GQ,True,0.0,10.0,0,66,True,True,193,66,2,16,16,100,0.001,L2,4.898140500259988e-128,2.88,0.5,1.61,0.00214519614429,0.0013205715693499999,2.0,0.83
GQ,True,2.0,50.0,1000,49,False,True,2204,49,2,16,16,100,0.01,L1,4.898140500259988e-128,14.96,0.7,0.68,-8.55709898073e-05,1.51622153741e-05,21.0,0.67
GQ,True,1.0,50.0,100,25,True,True,271,25,2,9,9,100,0.1,L2,4.8981405002599875e-130,2.83,0.39,0.77,-0.000215812821319,0.00021217345872499998,1.0,0.6
